epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,25656.4,0.33492,0.41214,1.01837,0.92817,0.91667,0.995,0.96183,0.32155,0.3201,1.00732,0.000205025,0.000205025,0.000205025
45,26238.9,0.3312,0.41726,1.02348,0.93756,1,0.995,0.96183,0.29567,0.29139,0.97851,0.000201491,0.000201491,0.000201491
46,26821.1,0.31747,0.37875,1.02174,0.86038,1,0.995,0.97012,0.27877,0.29113,0.95798,0.000197957,0.000197957,0.000197957
47,27403.1,0.31278,0.39471,1.00187,0.87065,1,0.995,0.97842,0.23848,0.26809,0.93521,0.000194422,0.000194422,0.000194422
48,27985.7,0.31288,0.4001,1.00446,0.86625,1,0.995,0.96183,0.2641,0.30308,0.95288,0.000190888,0.000190888,0.000190888
49,28567.7,0.30595,0.37488,1.00027,0.92652,0.91667,0.995,0.96183,0.24254,0.28372,0.94205,0.000187354,0.000187354,0.000187354
50,29150,0.31078,0.35973,1.00907,0.8495,1,0.995,0.95354,0.25109,0.3053,0.95735,0.000183819,0.000183819,0.000183819
51,29732.3,0.29885,0.35166,0.98319,0.87874,1,0.995,0.95354,0.27198,0.32199,0.9743,0.000180285,0.000180285,0.000180285
52,30314.6,0.29813,0.33137,0.99157,0.87567,1,0.995,0.97842,0.29112,0.31261,0.96401,0.000176751,0.000176751,0.000176751
53,30897,0.28979,0.36177,0.99552,0.89506,1,0.995,0.94525,0.27709,0.3006,0.94147,0.000173216,0.000173216,0.000173216
54,31480.2,0.31104,0.37275,1.00187,0.84436,1,0.995,0.95354,0.23051,0.32284,0.9203,0.000169682,0.000169682,0.000169682
55,32063.7,0.30123,0.37923,0.99541,0.80645,1,0.995,0.97012,0.27391,0.3281,0.94952,0.000166148,0.000166148,0.000166148
56,32646.8,0.29355,0.33051,1.00714,0.94305,0.91667,0.995,0.96183,0.28668,0.31046,0.97948,0.000162613,0.000162613,0.000162613
